ILHA;;DATA PARTIDA;DATA CHEGADA;MÊS;DIA;ANO;PORTO EMBARQUE;PORTO DESEMBARQUE;ZONA DE PESCA;ENGENHO;GRUPO;ESPÉCIE CAPTURADA;NOME CIENTÍFICO;QUANTIDADE CAPTURADA (Kg)
Santiago;Vai com Deus;2/10/2018;2/14/2018;2;14;2018;Pedra Badejo;Cais de pesca da Praia;Cabeça Maio, Tchadona;;Tunídeos;Albacora;Thunnus albacares;320
Santiago;Vai com Deus;2/10/2018;2/14/2018;2;14;2018;Pedra Badejo;Cais de pesca da Praia;Cabeça Maio, Tchadona;;Demersais;Goraz;Lutjanus fulgens;20
Santiago;Mama Bia;2/10/2018;2/14/2018;2;14;2018;Pedra Badejo;Cais de pesca da Praia;Tchadona;;Tunídeos;Albacora;Thunnus albacares;280
Santiago;Kutelinho;2/11/2018;2/15/2018;2;15;2018;Pedra Badejo;Cais de pesca da Praia;Tchadona, Cabeça Maio;;Tunídeos;Albacora;Thunnus albacares;375
Santiago;Kutelinho;2/11/2018;2/15/2018;2;15;2018;Pedra Badejo;Cais de pesca da Praia;Tchadona, Cabeça Maio;;Demersais;Esmoregal ou Serze;Seriola sp;15
Santiago;Amarante;2/11/2018;2/15/2018;2;15;2018;Pedra Badejo;Cais de pesca da Praia;Tchadona;;Tunídeos;Albacora;Thunnus albacares;180
Santiago;Amarante;2/11/2018;2/15/2018;2;15;2018;Pedra Badejo;Cais de pesca da Praia;Tchadona;;Demersais;Goraz;Lutjanus fulgens;60
Santiago;Amarante;2/11/2018;2/15/2018;2;15;2018;Pedra Badejo;Cais de pesca da Praia;Tchadona;;Demersais;Esmoregal ou Serze;Seriola sp;30
Santiago;Iva;2/13/2018;2/17/2018;2;17;2018;Pedra Badejo;Cais de pesca da Praia;Cabeça Maio;;Tunídeos;Albacora;Thunnus albacares;300
Santiago;Iva;2/13/2018;2/17/2018;2;17;2018;Pedra Badejo;Cais de pesca da Praia;Cabeça Maio;;Diversos;Maragal;;70
Santiago;Lidiana;2/13/2018;2/17/2018;2;17;2018;Pedra Badejo;Cais de pesca da Praia;Tchadona;;Tunídeos;Albacora;Thunnus albacares;220
Santiago;Nho Santiago;2/13/2018;2/17/2018;2;17;2018;Pedra Badejo;Cais de pesca da Praia;Cabeça Maio, Tchadona;;Tunídeos;Albacora;Thunnus albacares;235
Santiago;Nho Santiago;2/13/2018;2/17/2018;2;17;2018;Pedra Badejo;Cais de pesca da Praia;Cabeça Maio, Tchadona;;Demersais;Fatcho de fundo;Mulloidichthys martinicus;10
